Fp1-AV,F7-AV,T3-AV,T5-AV,F3-AV,C3-AV,P3-AV,O1-AV,Fp2-AV,F8-AV,T4-AV,T6-AV,F4-AV,C4-AV,P4-AV,O2-AV,Fz-AV,Cz-AV,Pz-AV,A1-AV,A2-AV
189.87,128.47,102.1,57.75,-5.67,-74.95,-86.31,-29.53,278.13,-252.79,-59.86,102.74,-30.54,-34.6,-49.61,12.35,85.34,-14.25,-215.32,10.27,-113.14
187.27,178.29,67.31,-11.33,84.48,70.4,50.41,-80.38,242.76,-304.27,-117.28,44.73,-94.65,-87.47,-78.89,-22.34,80.88,-54.55,8.14,-12.41,-150.66
186.06,223.46,40.61,-72.52,157.95,163.16,148.94,-100.23,205.26,-332.56,-154.97,0.99,-135.0,-122.4,-104.02,-40.36,56.64,-77.95,184.34,-39.17,-187.49
177.82,257.06,44.29,-89.87,200.01,179.92,182.85,-85.93,164.93,-342.55,-159.49,-31.59,-147.34,-135.78,-110.18,-51.26,25.31,-76.36,249.95,-47.54,-205.19
160.96,260.24,59.36,-59.83,178.63,97.4,121.09,-42.15,140.82,-324.88,-117.36,-25.18,-113.96,-109.29,-91.93,-33.81,-4.28,-48.05,163.05,-42.79,-167.11
147.01,239.31,82.74,-14.73,122.35,-15.59,11.48,-2.62,144.83,-278.05,-66.88,18.17,-62.72,-67.05,-66.85,-9.73,-12.74,-10.82,-21.01,-33.59,-103.78
146.01,197.34,108.62,41.04,32.54,-158.1,-125.03,35.44,171.44,-214.3,-18.72,77.86,13.61,-14.89,-36.34,20.65,-3.6,29.23,-249.03,-17.7,-35.72
131.07,136.18,132.02,108.31,-52.3,-245.99,-219.93,72.11,182.31,-179.0,22.34,126.98,66.1,21.18,-10.69,53.8,17.68,50.53,-420.0,-3.85,12.95
109.39,89.89,149.64,137.56,-90.25,-250.89,-238.92,69.38,164.15,-179.88,35.39,154.67,60.77,34.72,6.15,67.75,51.53,56.1,-420.0,22.6,28.0
98.65,89.2,145.99,108.63,-68.39,-159.5,-161.54,21.01,139.46,-212.25,-2.45,135.2,9.23,13.17,-3.84,48.36,77.97,34.15,-377.96,56.91,8.15
93.23,115.64,118.77,58.0,-11.55,-47.25,-53.96,-20.26,124.07,-255.77,-44.18,92.03,-43.2,-21.72,-26.74,24.49,83.1,-1.64,-200.63,59.62,-41.84
72.93,152.27,83.4,35.35,71.61,88.39,86.49,-9.62,64.58,-318.74,-72.23,33.89,-104.89,-79.24,-58.78,3.49,65.48,-44.45,16.99,33.94,-120.51
60.14,198.54,65.39,-12.25,142.52,175.79,188.04,-25.37,9.8,-362.46,-102.36,-2.87,-145.78,-112.36,-78.65,-15.75,35.38,-64.49,185.34,23.8,-162.29
52.11,236.28,58.79,-52.66,183.1,190.73,220.18,-25.72,-14.44,-371.8,-131.46,-9.2,-158.64,-110.97,-76.66,-14.39,3.1,-58.97,245.68,-3.34,-161.79
35.93,242.8,74.66,-31.3,150.99,104.73,154.51,21.14,-24.9,-342.07,-105.77,27.53,-143.73,-87.64,-61.51,6.56,-28.91,-32.42,157.05,-2.45,-115.36
24.61,232.89,108.48,25.15,90.77,-9.37,41.5,42.68,-17.25,-288.02,-51.45,66.78,-91.93,-48.15,-45.28,12.28,-44.36,2.48,-21.81,8.39,-38.75
15.02,203.82,140.27,69.97,8.63,-145.77,-97.52,56.49,5.86,-223.54,29.0,119.57,-25.98,8.78,-17.72,29.08,-30.07,47.34,-238.41,23.46,22.13
4.01,157.45,157.16,85.98,-81.54,-220.56,-193.35,52.58,36.36,-172.68,93.7,170.62,12.2,56.33,11.44,54.87,0.52,79.75,-407.12,43.92,57.9
-0.79,121.87,163.82,106.18,-127.81,-223.75,-215.41,48.29,42.21,-162.86,100.7,168.61,24.52,73.97,23.08,54.28,35.92,88.68,-420.0,79.28,65.48
-16.68,99.95,157.95,129.99,-109.85,-138.75,-136.89,59.34,4.82,-215.33,54.9,125.17,-1.85,50.45,12.13,47.93,60.6,64.59,-370.85,100.01,21.72
-17.67,120.37,143.14,81.88,-45.37,-16.56,-17.54,33.66,-28.57,-267.99,-4.41,65.87,-40.96,15.55,-8.71,21.34,77.14,36.35,-187.52,105.32,-65.2
-32.39,157.27,115.64,-16.39,58.27,127.59,126.8,-6.22,-71.33,-324.56,-60.76,18.4,-100.42,-26.77,-29.93,-5.11,78.38,5.23,39.49,77.04,-130.58
-50.26,197.47,87.7,-65.95,147.49,209.41,226.87,-26.18,-124.48,-368.34,-96.91,-14.86,-141.91,-59.98,-50.05,-28.98,57.67,-15.48,217.96,62.68,-163.23
-66.47,222.14,80.78,-64.81,189.21,220.95,254.4,-8.78,-161.45,-384.48,-100.48,-25.02,-158.4,-69.4,-57.48,-35.65,22.04,-18.71,275.3,49.17,-163.61
-71.86,233.32,94.87,-24.86,163.31,133.81,179.08,31.26,-160.09,-347.75,-64.23,3.5,-142.71,-52.35,-49.56,-22.58,-10.65,-0.76,173.04,52.12,-117.36
-81.62,227.46,115.62,33.99,104.19,16.14,63.89,71.37,-144.68,-293.09,-14.33,49.81,-103.51,-19.48,-32.42,-2.56,-23.66,29.29,-8.44,58.47,-47.28
-90.44,193.55,146.59,91.94,5.99,-117.86,-75.64,106.97,-118.34,-233.95,45.83,113.03,-44.23,30.07,-3.57,29.44,-15.05,70.0,-229.7,72.0,24.08
-98.04,150.46,173.78,109.48,-83.78,-193.59,-166.61,98.3,-92.14,-196.39,92.0,160.4,3.71,73.02,23.96,53.77,18.39,101.02,-389.57,94.62,67.16
-110.28,115.69,184.64,122.15,-124.19,-188.15,-184.82,85.86,-85.39,-183.62,107.01,169.38,17.54,89.01,34.95,61.27,60.91,107.0,-420.0,121.12,87.57
-117.68,108.72,169.59,98.56,-101.08,-100.22,-109.49,62.76,-100.53,-210.41,71.51,144.07,-11.14,71.06,30.27,51.77,96.38,84.67,-420.0,131.09,69.34
-122.89,129.0,144.76,72.18,-40.35,11.03,3.46,40.28,-137.93,-263.49,18.26,92.27,-59.35,36.63,11.96,26.52,103.36,49.19,-268.0,136.62,17.37
-135.39,166.63,111.5,33.16,50.58,146.25,143.31,17.92,-188.28,-329.55,-21.83,43.49,-127.31,-19.35,-14.63,-2.49,86.9,8.74,-49.81,126.03,-46.61
-146.64,203.18,87.77,7.72,128.43,219.78,244.26,21.53,-233.88,-373.01,-65.41,4.82,-172.45,-54.75,-35.72,-21.69,55.51,-13.74,123.49,112.86,-92.2
-158.82,227.82,84.27,-4.61,162.26,226.97,273.84,39.65,-260.99,-384.15,-72.56,-7.98,-188.68,-61.96,-39.91,-24.7,19.31,-12.98,182.21,107.27,-105.84
-167.41,238.67,99.51,3.02,136.7,147.7,199.88,54.65,-255.08,-345.09,-28.96,20.64,-160.83,-37.63,-27.79,-12.18,-11.91,12.06,86.8,101.12,-54.16
-176.35,223.91,122.38,39.97,77.72,38.63,87.41,92.88,-243.54,-292.78,20.84,74.86,-121.72,3.05,-2.48,17.25,-23.94,47.11,-81.23,93.74,1.83
